,Address,Location,Date of sale,Boarea (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
0,Skårby station 350,"Kareby,          Kungälvs kommun",9 oktober 2023,143.0,168.0,7.0,2 303 ,3005000.0
1,Högalidsgatan 3,"Centrum,          Kungälvs kommun",5 oktober 2023,103.0,206.0,5.0,862 ,3800000.0
2,Kungälvsvägen 22,"Centralt,          Kungälvs kommun",3 oktober 2023,77.0,123.0,5.0,1 548 ,4500000.0
3,Ädelstensvägen 58,"Kode,          Kungälvs kommun",2 oktober 2023,123.0,,6.0,379 ,4075000.0
4,Kantorvägen 4,"Bohuslän,          Kungälvs kommun",27 september 2023,166.0,,6.0,558 ,3625000.0
5,Diamantvägen 34,"Kode,          Kungälvs kommun",26 september 2023,123.0,,5.0,559 ,2900000.0
6,Tjäderstigen 8,"Centralt,          Kungälvs kommun",25 september 2023,126.0,,4.0,362 ,4760000.0
7,Heavägen 31,"Lycke,          Kungälvs kommun",22 september 2023,165.0,195.0,6.0,1 553 ,5450000.0
8,Beryllvägen 14,"Kode,          Kungälvs kommun",17 september 2023,145.0,,5.0,434 ,3900000.0
9,Kornhall 290,"Kornhall,          Kungälvs kommun",17 september 2023,134.0,141.0,5.0,1 706 ,6100000.0
10,Grindbacken 18,"Grinden,          Kungälvs kommun",15 september 2023,124.0,,4.0,932 ,7350000.0
11,Korpvägen 273,"Ullstorp,          Kungälvs kommun",15 september 2023,112.0,,4.0,480 ,5050000.0
12,Kristiansborg 300,"Bohuslän,          Kungälvs kommun",13 september 2023,215.0,330.0,5.0,3 121 ,5350000.0
13,Glöskär 255,"Kärna,          Kungälvs kommun",7 september 2023,111.0,133.0,4.0,2 062 ,3520000.0
14,Nolby 150,"Kode,          Kungälvs kommun",6 september 2023,129.0,,4.0,1 724 ,4100000.0
15,Skårby station 452,"Kareby,          Kungälvs kommun",5 september 2023,122.0,,2.0,2 963 ,4395000.0
16,Snäckvägen 11,"Kode,          Kungälvs kommun",31 augusti 2023,39.0,,3.0,1 593 ,2150000.0
17,Klockarvägen 1,"Bohuslän,          Kungälvs kommun",31 augusti 2023,137.0,,5.0,884 ,3000000.0
18,Lilla Fjellsholmen 35,"Vedhall,          Kungälvs kommun",30 augusti 2023,86.0,,3.0,427 ,10000000.0
19,Västra Röd 165,"Kärna,          Kungälvs kommun",29 augusti 2023,151.0,171.0,5.0,2 263 ,5995000.0
20,Snorregatan 3B,"Komarken,          Kungälvs kommun",24 augusti 2023,120.0,123.0,5.0,342 ,4225000.0
21,Jägarvägen 13,"Romelanda,          Kungälvs kommun",23 augusti 2023,162.0,176.0,5.0,569 ,3900000.0
22,Rosenstensvägen 2,"Kungälv,          Kungälvs kommun",23 augusti 2023,140.0,,5.0,673 ,4800000.0
23,Tröskvägen 260,"Ullstorp,          Kungälvs kommun",16 augusti 2023,135.0,,6.0,410 ,5600000.0
24,Stora Lycke 400,"Bohuslän,          Kungälvs kommun",16 augusti 2023,111.0,116.0,5.0,761 ,3650000.0
25,Dösebacka 410,"Romelanda,          Kungälvs kommun",15 augusti 2023,38.0,49.0,3.0,5 960 ,2300000.0
26,Mantalsgatan 9,"Tega,          Kungälvs kommun",9 augusti 2023,175.0,210.0,7.0,1 105 ,4725000.0
27,Skälebräckeliden 9,"Centrum,          Kungälvs kommun",8 augusti 2023,113.0,198.0,4.0,1 608 ,6275000.0
28,Norrmannebo 700,"Romelanda,          Kungälvs kommun",4 augusti 2023,41.0,,3.0,1 182 ,1000000.0
29,Bokvägen 14,"Fontin, centrum,          Kungälvs kommun",28 juli 2023,137.0,,6.0,828 ,5100000.0
30,Duvesjön 228,"Romelanda,          Kungälvs kommun",17 juli 2023,121.0,158.0,5.0,1 150 ,4195000.0
31,Klintegatan 22,"Centralt,          Kungälvs kommun",17 juli 2023,119.0,174.0,5.0,999 ,6500000.0
32,Galärgatan 2,"Kungälv Centrum,          Kungälvs kommun",13 juli 2023,103.0,163.0,5.0,749 ,4300000.0
33,Ulvebackegatan 3,"Munkegärde,          Kungälvs kommun",13 juli 2023,129.0,173.0,5.0,927 ,4850000.0
34,Vråstigen 4,"Överön,          Kungälvs kommun",11 juli 2023,81.0,138.0,4.0,2 619 ,3775000.0
35,Bergsvägen 11,"Rörtången/ Ödsmålsmosse,          Kungälvs kommun",7 juli 2023,69.0,,4.0,934 ,2000000.0
36,Lundby 509,"Kareby,          Kungälvs kommun",6 juli 2023,166.0,,6.0,1 933 ,4900000.0
37,Kastellegårdsgatan 29,"Komarken,          Kungälvs kommun",6 juli 2023,122.0,138.0,4.0,1 033 ,5200000.0
38,Sparråsvägen 140,"Kungälv - Ytterby,          Kungälvs kommun",4 juli 2023,137.0,156.0,4.0,961 ,3850000.0
39,Dammen 160,"Kärna,          Kungälvs kommun",4 juli 2023,174.0,199.0,5.0,3 234 ,3450000.0
40,Önneröd 220,"Kärna,          Kungälvs kommun",4 juli 2023,112.0,,4.0,2 032 ,4200000.0
41,Tulpanvägen 15,"Kärna,          Kungälvs kommun",3 juli 2023,105.0,245.0,4.0,914 ,3900000.0
42,Rubinvägen 19,"Kode,          Kungälvs kommun",2 juli 2023,195.0,,7.0,937 ,5050000.0
43,Gårdskiftegatan 5,"Ytterby,          Kungälvs kommun",30 juni 2023,164.0,200.0,5.0,806 ,5250000.0
