,Address,Location,Date of sale,Bo area (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
0,Skårby station 350,"Kareby,          Kungälvs kommun",9 oktober 2023,143,143+25,7,2 303 ,3 005 000 
1,Högalidsgatan 3,"Centrum,          Kungälvs kommun",5 oktober 2023,103,103+103,5,862 ,3 800 000 
2,Kungälvsvägen 22,"Centralt,          Kungälvs kommun",3 oktober 2023,77,77+46,5,1 548 ,4 500 000 
3,Ädelstensvägen 58,"Kode,          Kungälvs kommun",2 oktober 2023,123,NaN,6,379 ,4 075 000 
4,Kantorvägen 4,"Bohuslän,          Kungälvs kommun",27 september 2023,166,NaN,6,558 ,3 625 000 
5,Diamantvägen 34,"Kode,          Kungälvs kommun",26 september 2023,123,NaN,5,559 ,2 900 000 
6,Tjäderstigen 8,"Centralt,          Kungälvs kommun",25 september 2023,126,NaN,4,362 ,4 760 000 
7,Heavägen 31,"Lycke,          Kungälvs kommun",22 september 2023,165,165+30,6,1 553 ,5 450 000 
8,Beryllvägen 14,"Kode,          Kungälvs kommun",17 september 2023,145,NaN,5,434 ,3 900 000 
9,Kornhall 290,"Kornhall,          Kungälvs kommun",17 september 2023,134,134+7,5,1 706 ,6 100 000 
10,Grindbacken 18,"Grinden,          Kungälvs kommun",15 september 2023,124,NaN,4,932 ,7 350 000 
11,Korpvägen 273,"Ullstorp,          Kungälvs kommun",15 september 2023,112,NaN,4,480 ,5 050 000 
12,Kristiansborg 300,"Bohuslän,          Kungälvs kommun",13 september 2023,215,215+115,5,3 121 ,5 350 000 
13,Glöskär 255,"Kärna,          Kungälvs kommun",7 september 2023,111,111+22,4,2 062 ,3 520 000 
14,Nolby 150,"Kode,          Kungälvs kommun",6 september 2023,129,NaN,4,1 724 ,4 100 000 
15,Skårby station 452,"Kareby,          Kungälvs kommun",5 september 2023,122,NaN,2,2 963 ,4 395 000 
16,Snäckvägen 11,"Kode,          Kungälvs kommun",31 augusti 2023,39,NaN,3,1 593 ,2 150 000 
17,Klockarvägen 1,"Bohuslän,          Kungälvs kommun",31 augusti 2023,137,NaN,5,884 ,3 000 000 
18,Lilla Fjellsholmen 35,"Vedhall,          Kungälvs kommun",30 augusti 2023,86,NaN,3,427 ,10 000 000 
19,Västra Röd 165,"Kärna,          Kungälvs kommun",29 augusti 2023,151,151+20,5,2 263 ,5 995 000 
20,Snorregatan 3B,"Komarken,          Kungälvs kommun",24 augusti 2023,120,120+3,5,342 ,4 225 000 
21,Jägarvägen 13,"Romelanda,          Kungälvs kommun",23 augusti 2023,162,162+14,5,569 ,3 900 000 
22,Rosenstensvägen 2,"Kungälv,          Kungälvs kommun",23 augusti 2023,140,NaN,5,673 ,4 800 000 
23,Tröskvägen 260,"Ullstorp,          Kungälvs kommun",16 augusti 2023,135,NaN,6,410 ,5 600 000 
24,Stora Lycke 400,"Bohuslän,          Kungälvs kommun",16 augusti 2023,111,111+5,5,761 ,3 650 000 
25,Dösebacka 410,"Romelanda,          Kungälvs kommun",15 augusti 2023,38,38+11,3,5 960 ,2 300 000 
26,Mantalsgatan 9,"Tega,          Kungälvs kommun",9 augusti 2023,175,175+35,7,1 105 ,4 725 000 
27,Skälebräckeliden 9,"Centrum,          Kungälvs kommun",8 augusti 2023,113,113+85,4,1 608 ,6 275 000 
28,Norrmannebo 700,"Romelanda,          Kungälvs kommun",4 augusti 2023,41,NaN,3,1 182 ,1 000 000 
